path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Профили\Заказ_CH-ПРавОТК-2450X150-11-шт-1.pdf,Заказ_CH-ПРавОТК-2450X150-11-шт-1.pdf,21c8385a89e4da6c,0.13,1,ReportLab PDF Library - www.reportlab.com,ReportLab PDF Library - www.reportlab.com,
D:\Общая_Рабочая\2024\2 Этажа\Пироги.pdf,Пироги.pdf,62ad1317c3b86d37,0.53,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Планкен\1-й этаж.pdf,1-й этаж.pdf,d9ccbf4050e12504,0.21,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Планкен\2-й этаж.pdf,2-й этаж.pdf,47d541c248585f7f,0.27,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Планкен\Стены планкен.pdf,Стены планкен.pdf,881980226082500a,1.89,14,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Планкен\Фасады.pdf,Фасады.pdf,bee379a70fe998f3,4.28,10,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\ПОЛ\Жилой Дом Проба - План перекрытия пола.pdf,Жилой Дом Проба - План перекрытия пола.pdf,3b4668f20282ec67,0.64,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.21),
D:\Общая_Рабочая\2024\2 Этажа\ПОЛ-2й этаж\Жилой Дом Проба - План перерытия пола 2-го этажа.pdf,Жилой Дом Проба - План перерытия пола 2-го этажа.pdf,0319b1c6d4b6d63a,1.11,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.16),
D:\Общая_Рабочая\2024\2 Этажа\ПТЛ-1-й Этаж\Жилой Дом Проба - План перекрытия потолка 1-го этажа.pdf,Жилой Дом Проба - План перекрытия потолка 1-го этажа.pdf,69d0f61f6086df25,1.47,6,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.16),
D:\Общая_Рабочая\2024\2 Этажа\Рама\Жилой Дом Проба - Схема Рамы.pdf,Жилой Дом Проба - Схема Рамы.pdf,ec6a4ac2ae2f3837,0.74,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.21),
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Отделка планкен распил\Планкен нар.pdf,Планкен нар.pdf,f209eba7736c771b,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Пол 1-й этаж\2.pdf,2.pdf,c4f4755c8b564817,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Пол 1-й этаж\Распил.pdf,Распил.pdf,f158405a21449672,0.42,3,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Пол 2-й этаж\4.pdf,4.pdf,504e102acb1faa44,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Пол 2-й этаж\Распил.pdf,Распил.pdf,48a9e1737308c489,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Потолки 1-й этаж\GNK1 Распил.pdf,GNK1 Распил.pdf,331304c63c3518fa,0.41,2,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Потолки 1-й этаж\Потололк 1.pdf,Потололк 1.pdf,efbed560e8e2eb6a,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Потолок 2-й этаж\10.pdf,10.pdf,61def44aa433c88e,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Потолок 2-й этаж\Распил.pdf,Распил.pdf,2da6f89e800e52a5,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Рама\1.pdf,1.pdf,85a39b9b01c6d5e9,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Рама\СПЕЦ.pdf,СПЕЦ.pdf,7c576f845fa2dbec,0.41,2,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Стены 2-й\2этстн.pdf,2этстн.pdf,fdefcf0204d7392c,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Стены 2-й\Распил 2эт.pdf,Распил 2эт.pdf,22a15b5b4a09b98d,0.41,2,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Стены наружные\2.pdf,2.pdf,5a24bf5274ec5623,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СПЕЦ\Стены наружные\Распил 1-й этаж Стены.pdf,Распил 1-й этаж Стены.pdf,93b10d6f147efec9,0.42,2,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\СТЕНЫ\Жилой Дом Проба - План стен 1-го этажа.pdf,Жилой Дом Проба - План стен 1-го этажа.pdf,0c052faa34b17447,3.11,20,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.16),
