path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\ГОТОВИМ К ОТПРАВКЕ\Посадка дома на обвязку.pdf,Посадка дома на обвязку.pdf,e459b81491add051,0.5,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\ГОТОВИМ К ОТПРАВКЕ\Посадка террас на обвязку.pdf,Посадка террас на обвязку.pdf,54e373fe5ee805ee,0.5,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\ГОТОВИМ К ОТПРАВКЕ\Сборка чертежей обвязка Нью Парадайс.pdf,Сборка чертежей обвязка Нью Парадайс.pdf,3a100187aacb0e8a,7.96,6,GPL Ghostscript 9.54.0,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\ГОТОВИМ К ОТПРАВКЕ\Свайное поле Нью Парадайс.pdf,Свайное поле Нью Парадайс.pdf,c85267630f775e8f,0.07,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Дровник (1).pdf,Дровник (1).pdf,c22f2171d878d369,0.01,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Дровник.pdf,Дровник.pdf,c22f2171d878d369,0.01,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Дрон фото\Нью Парадайс освещение.pdf,Нью Парадайс освещение.pdf,55048d13025bd960,0.3,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Дрон фото\Нью Парадайс электрика.pdf,Нью Парадайс электрика.pdf,e316a250d33424af,0.32,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Закладные Нью Парадайс исправлено.pdf,Закладные Нью Парадайс исправлено.pdf,facb4a6c868d17be,0.08,1,pdfplot16.hdi 16.02.161.00000,AutoCAD 2023 — Русский (Russian) 2023 (24.2s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Лосево сваи итоговый.pdf,Лосево сваи итоговый.pdf,4347fe586dadf8a7,0.12,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Модульные дома чертежи последние (1).pdf,Модульные дома чертежи последние (1).pdf,10207d01ef80e74d,2.65,33,"PDFTron PDFNet, V6.40292",ARCHICAD (GSPublisherVersion: 0.68.100.100),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Модульные дома чертежи последние.pdf,Модульные дома чертежи последние.pdf,10207d01ef80e74d,2.65,33,"PDFTron PDFNet, V6.40292",ARCHICAD (GSPublisherVersion: 0.68.100.100),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Наложение плана на сваи Лосево.pdf,Наложение плана на сваи Лосево.pdf,3f52c31962f83946,0.17,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Нью Парадайс.Спецификация окон и дверей.pdf,Нью Парадайс.Спецификация окон и дверей.pdf,d8a3bfab339bd11e,0.11,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Нью Парадайс.Спецификация окон НА ПРОВЕРКУ (1).pdf,Нью Парадайс.Спецификация окон НА ПРОВЕРКУ (1).pdf,2a39361335e6325e,0.11,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Нью Парадайс.Спецификация окон НА ПРОВЕРКУ.pdf,Нью Парадайс.Спецификация окон НА ПРОВЕРКУ.pdf,2a39361335e6325e,0.11,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Окно в СУ исправлено.pdf,Окно в СУ исправлено.pdf,d9e924cf5a670d10,0.23,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Офис_АБК Феникс_благоустройство.pdf,Офис_АБК Феникс_благоустройство.pdf,a7ed5342488b9b36,0.48,1,pdfplot12.hdi 12.01.049.000,AutoCAD Architecture 2016 - English 2016 (20.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\План розеток Нью Парадайс.pdf,План розеток Нью Парадайс.pdf,ad5933a12c2473f1,0.32,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка вариант 1.pdf,Планировка вариант 1.pdf,7bbf498d5dc89c7c,0.15,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка вариант 2.pdf,Планировка вариант 2.pdf,bd0f444eb84063c1,0.19,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка исправлено.pdf,Планировка исправлено.pdf,50a7a68217796651,0.22,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка итог Нью Парадайс.pdf,Планировка итог Нью Парадайс.pdf,661c2def4967892f,0.23,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка итоговая Нью Парадайс.pdf,Планировка итоговая Нью Парадайс.pdf,0f1853bef03f6a85,0.23,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировка Нью Парадайс.pdf,Планировка Нью Парадайс.pdf,6f73bd78c120fff7,0.16,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Планировки 4м.pdf,Планировки 4м.pdf,45f75243022a16eb,0.58,7,iLovePDF,,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Посадка на участок.pdf,Посадка на участок.pdf,db15cc4430058a04,0.58,1,pdfplot16.hdi 16.01.051.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Предварительная сборка Геленджик.pdf,Предварительная сборка Геленджик.pdf,e7f766378e877d4d,1.97,8,GPL Ghostscript 9.53.3,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\примерная посадка на участок.pdf,примерная посадка на участок.pdf,85963938d6e16eb3,0.34,1,GPL Ghostscript 9.53.3,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Размеры Коле\Новая версия.pdf,Новая версия.pdf,48ae3cc2662d0c0a,0.24,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Размеры Коле\Размеры стен Парадайс.pdf,Размеры стен Парадайс.pdf,8907a2f4049a5337,0.27,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Планировка Нью парадайс 2 гостевые.pdf,Планировка Нью парадайс 2 гостевые.pdf,10a7b27a25e630c0,0.31,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Планировка Нью парадайс гостевые.pdf,Планировка Нью парадайс гостевые.pdf,b4d5db0b3e74012a,0.29,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Планировка.pdf,Планировка.pdf,c1b7933156504af6,0.31,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Сборка Нью Парадайс.pdf,Сборка Нью Парадайс.pdf,b11f2a5f491d8edd,0.7,3,GPL Ghostscript 9.54.0,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Свет.pdf,Свет.pdf,cd23a6cd18c3dff4,0.3,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Сборка 17 августа\Электрика.pdf,Электрика.pdf,dd2ce26da8eb7732,0.35,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Террасы Бриллиант исправлено.pdf,Террасы Бриллиант исправлено.pdf,bee534fd13c94281,0.07,2,GPL Ghostscript 9.53.3,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\границы щитов кровли.pdf,границы щитов кровли.pdf,e288cf614445670b,0.02,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\Кассеты исправлено.pdf,Кассеты исправлено.pdf,b225dacb4a7c5b54,0.02,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\кассеты над и под окнами.pdf,кассеты над и под окнами.pdf,fb147bca4098dece,0.02,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\навесы Парадайс 2 лист.pdf,навесы Парадайс 2 лист.pdf,115f1fbd509c183c,0.0,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\навесы Парадайс.pdf,навесы Парадайс.pdf,84d0c74e4d0e5e29,0.05,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\Планировка Нью Парадайс.pdf,Планировка Нью Парадайс.pdf,575220205b6fd6b2,0.17,1,GPL Ghostscript 9.56.1,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\планки пробные 1.pdf,планки пробные 1.pdf,160b6dd5189e08a9,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\планки пробные.pdf,планки пробные.pdf,89ed259f6f084c16,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Нью парадайс\Фасад\планки тест.pdf,планки тест.pdf,67ed2bf02a3dea88,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\полы предв.pdf,полы предв.pdf,38c74eb1634d8a70,0.02,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\границы щитов кровли.pdf,границы щитов кровли.pdf,e288cf614445670b,0.02,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\кассеты над и под окнами.pdf,кассеты над и под окнами.pdf,fb147bca4098dece,0.02,1,pdfplot14.hdi 14.00.161.000,AutoCAD 2018 — Русский (Russian) 2018 (22.0s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\навесы Парадайс 2 лист.pdf,навесы Парадайс 2 лист.pdf,115f1fbd509c183c,0.0,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\навесы Парадайс.pdf,навесы Парадайс.pdf,84d0c74e4d0e5e29,0.05,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\Планировка Нью Парадайс.pdf,Планировка Нью Парадайс.pdf,575220205b6fd6b2,0.17,1,GPL Ghostscript 9.56.1,PDF24 Creator,
D:\Общая_Рабочая\2024\Прадайз\Фасад\планки пробные 1.pdf,планки пробные 1.pdf,160b6dd5189e08a9,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\планки пробные.pdf,планки пробные.pdf,89ed259f6f084c16,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Прадайз\Фасад\планки тест.pdf,планки тест.pdf,67ed2bf02a3dea88,0.03,1,pdfplot16.hdi 16.01.162.00000,AutoCAD 2022 — Русский (Russian) 2022 (24.1s (LMS Tech)),
D:\Общая_Рабочая\2024\Рязань\Баня\3Д вид основания.pdf,3Д вид основания.pdf,b218a53a0b6fbbfe,0.07,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Баня\Пол\Баня Рязань - План сборки пола.pdf,Баня Рязань - План сборки пола.pdf,72b2febb4ed92450,0.41,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\Рязань\Баня\Потолок\Баня Рязань - План сборки Потолка.pdf,Баня Рязань - План сборки Потолка.pdf,363a5747f681023d,0.19,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\Рязань\Баня\Рамка\Баня Рязань - Рамка.pdf,Баня Рязань - Рамка.pdf,4120ecd23573841c,0.25,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\Рязань\Баня\СПЕЦ\1.pdf,1.pdf,f4653d0df1d2e616,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Баня\Стены\Баня Рязань - Стены.pdf,Баня Рязань - Стены.pdf,58b064432f2db42b,1.69,14,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.23),
D:\Общая_Рабочая\2024\Рязань\Баня\Чертеж основания.pdf,Чертеж основания.pdf,081ea3f14bec036f,0.14,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Жилой Дом Рязань - РД_Рязань.pdf,Жилой Дом Рязань - РД_Рязань.pdf,fc7d92febab0088f,3.67,41,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.36),
D:\Общая_Рабочая\2024\Рязань\Кассеты доз\Кассета и планка доп заказ - Заказ рязань.pdf,Кассета и планка доп заказ - Заказ рязань.pdf,0b937b582779100b,0.06,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.15),
D:\Общая_Рабочая\2024\Рязань\Кассеты доз\кассета между входной дверью и окном.pdf,кассета между входной дверью и окном.pdf,b47898ab17cc4bb6,0.04,1,,1C:Enterprise (8.3.25.1394),
D:\Общая_Рабочая\2024\Рязань\Кассеты доз\Кассеты и планки для заказа - Рязань.pdf,Кассеты и планки для заказа - Рязань.pdf,bfcabb9aadeeb6a8,0.1,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.14),
D:\Общая_Рабочая\2024\Рязань\Фундамент\1.pdf,1.pdf,cb446570ca2f8991,0.21,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Фундамент\2.pdf,2.pdf,424ff6253b022a90,0.03,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Фундамент\3.pdf,3.pdf,6aa9ed39adbae23d,0.01,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Фундамент\FromDWG.pdf,FromDWG.pdf,8f0baea367e16797,0.65,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Рязань\Чертежи полов\Пол чертеж.pdf,Пол чертеж.pdf,b56bcbaed51aaf41,0.2,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\План перестройки\Снетково-1 - План переделок.pdf,Снетково-1 - План переделок.pdf,afa026337bd279ab,0.35,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.16),
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Пол\Жилой Дом Снетково_1 - Пол.pdf,Жилой Дом Снетково_1 - Пол.pdf,d71fa8349651a758,2.27,7,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.24),
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Пол\Жилой Дом Челмуши - Пол.pdf,Жилой Дом Челмуши - Пол.pdf,5d03cfabf6c36fdb,1.44,7,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Потолок\111.pdf,111.pdf,398ea30b04041be6,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Потолок\Дом Снектово_1 - Потолки.pdf,Дом Снектово_1 - Потолки.pdf,1c90ed64089ec66a,0.94,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Спецификации\Пол\пол.pdf,пол.pdf,ad7baf541d2dc682,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Спецификации\Потолок\3.pdf,3.pdf,d93be55dec1765e2,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Спецификации\Стены\1.pdf,1.pdf,31d9e6653c3bc75c,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Спецификации\Стены\2.pdf,2.pdf,42cd830ce9447784,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Снетково\ДОМ1\Стены\Жилой Дом Снетково_1 - Стены.pdf,Жилой Дом Снетково_1 - Стены.pdf,a2b2e769f467d932,4.11,18,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.22),
D:\Общая_Рабочая\2024\СНИПы\4293811422.pdf,4293811422.pdf,6bbd35627b2f1a0b,4.39,92,Adobe Acrobat 11.0.11,Adobe Acrobat 11.0,
"D:\Общая_Рабочая\2024\СНИПы\М.А. Водянников, А.В. Воробьев Оценка работы соединений деревянных конструкций на стальных и углепластиковых цилиндрических нагеляхfile.pdf","М.А. Водянников, А.В. Воробьев Оценка работы соединений деревянных конструкций на стальных и углепластиковых цилиндрических нагеляхfile.pdf",04b876f2dc8b576c,0.96,11,PDFium,PDFium,
D:\Общая_Рабочая\2024\СНИПы\Основн.pdf,Основн.pdf,11e5a6a4532afdb9,3.45,193,GPL Ghostscript 9.04,PDFCreator Version 1.2.3,
D:\Общая_Рабочая\2024\Суздаль\Жилой Дом Суздаль - Весь Проект.pdf,Жилой Дом Суздаль - Весь Проект.pdf,730245fab7b3ca47,7.03,50,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.36),
D:\Общая_Рабочая\2024\Суздаль\Новая папка\Жилой Дом Суздаль - Фасады.pdf,Жилой Дом Суздаль - Фасады.pdf,bf596e0ce532ed7f,0.13,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.33),
D:\Общая_Рабочая\2024\Суздаль\Фасады\1.pdf,1.pdf,922a4602172b9498,0.22,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль\Фасады\2.pdf,2.pdf,84d36b9790fe56cc,0.21,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль\Фасады\3.pdf,3.pdf,851d12ec4abd163e,0.21,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль\Фасады\4.pdf,4.pdf,bf2820f5389a000e,0.21,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Доп Окно.pdf,Доп Окно.pdf,ef6b2e03ade8ff8f,0.04,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\1-2.pdf,1-2.pdf,8d83ac201a8df690,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\Доп заказ\Суздаль доп заказ Планки тип 0.pdf,Суздаль доп заказ Планки тип 0.pdf,81abe923f91f35fb,0.24,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\Доп заказ\Тип 0.pdf,Тип 0.pdf,ea90e5d69764c262,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\Кассеты и планки для заказа - Суздаль 2МД.pdf,Кассеты и планки для заказа - Суздаль 2МД.pdf,70f2640e2b279de1,1.24,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.15),
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\Кассеты.pdf,Кассеты.pdf,9f5e56e40b527fcc,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Кассеты\Тип0.pdf,Тип0.pdf,aa7ef1e3b0534505,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Полы\Суздаль 2МД - Пол.pdf,Суздаль 2МД - Пол.pdf,ddaa1a87106d0e9f,1.37,6,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.12),
D:\Общая_Рабочая\2024\Суздаль 2М\Потолки\Дом Суздаль 2МД - Потолки.pdf,Дом Суздаль 2МД - Потолки.pdf,a5391746f01183b8,0.73,4,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.11),
D:\Общая_Рабочая\2024\Суздаль 2М\СН-МД2-1.pdf,СН-МД2-1.pdf,e53efd0fc3d556b7,0.33,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Спец\Пол\1.pdf,1.pdf,772bbb5c01de263a,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Спец\Потолок\3.pdf,3.pdf,4164f70268e7f67b,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Спец\Стены\2.pdf,2.pdf,5441d7ab3554948c,0.4,2,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Стены\Планкен распил.pdf,Планкен распил.pdf,9dafe220780ad8c4,0.38,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Суздаль 2М\Стены\Суздаль 2МД - Отделка планкен.pdf,Суздаль 2МД - Отделка планкен.pdf,db9e4ab2f5eca613,1.71,8,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.11),
D:\Общая_Рабочая\2024\Суздаль 2М\Стены\Суздаль 2МД - Стены.pdf,Суздаль 2МД - Стены.pdf,68b795e3131cd121,3.61,16,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.12),
D:\Общая_Рабочая\2024\Суздаль 2М\Суздаль 2 в8 (2).pdf,Суздаль 2 в8 (2).pdf,420113e144a31360,0.08,1,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.9.100.100),
D:\Общая_Рабочая\2024\Тула\Планировка вер 1 Тула.pdf,Планировка вер 1 Тула.pdf,5fd94bd608dd36ce,0.33,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Тула\Планировка вер 2 Купры.pdf,Планировка вер 2 Купры.pdf,df50f1adcac26665,0.2,1,Microsoft: Print To PDF,,
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\Домик охраны\Хозблок 2М - ЭП.pdf",Хозблок 2М - ЭП.pdf,d7cac15fba7d724d,5.67,6,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.23),
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\Домик охраны\Хозяйстенный Блок - План помещений.pdf",Хозяйстенный Блок - План помещений.pdf,fe01e79025c351ae,2.11,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.23),
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\САУНА\В1.pdf",В1.pdf,42d24c315be82a49,0.25,1,Microsoft: Print To PDF,,
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\САУНА\Планировка зеркальная.pdf",Планировка зеркальная.pdf,a6109fddf96be428,0.54,1,Microsoft: Print To PDF,,
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\САУНА\Планировка.pdf",Планировка.pdf,793e6433a1843367,0.19,1,Microsoft: Print To PDF,,
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\Хозблок 3х5\ПОЛ\Хозблок 3х5 - Данные Полы.pdf",Хозблок 3х5 - Данные Полы.pdf,38d20d2464392b50,0.56,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.23),
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\Хозблок 3х5\СПЕЦ\Пол\1.pdf",1.pdf,07cf01d474898e3a,0.39,1,Microsoft: Print To PDF,,
"D:\Общая_Рабочая\2024\Хозблоки, сауны итп\Хозблок 3х5\СПЕЦ\Пол\ОСБ.pdf",ОСБ.pdf,b0cc769d390b4949,0.39,1,Microsoft: Print To PDF,,
